"taxon"	"AC1"	"AC2"	"AC3"	"AC4"	"AC5"	"AC6"	"AC7"	"AC8"	"AC9"	"AC10"	"AC11"	"AC12"	"AS1"	"AS2"	"AS3"	"AS4"	"AS5"	"AS6"	"AS7"	"AS8"	"AS9"	"AS10"	"AS11"	"AS12"	"EC1"	"EC2"	"EC3"	"EC4"	"EC5"	"EC6"	"EC7"	"EC8"	"EC9"	"EC10"	"EC11"	"ES1"	"ES2"	"ES3"	"ES4"	"ES5"	"ES6"	"ES7"	"ES8"	"ES9"	"ES10"	"ES11"
"d__Bacteria; p__Acidobacteriota; c__Holophagae; o__Holophagales; f__Holophagaceae; g__Holophagaceae"	"0"	"0"	"0"	"0"	"428"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"d__Bacteria; p__Acidobacteriota; c__Holophagae; o__Subgroup_7; f__Subgroup_7; g__Subgroup_7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1246"	"0"	"1806"	"907"	"545"	"0"	"0"	"0"	"0"	"0"	"0"	"611"	"424"	"1239"	"2299"	"774"	"464"	"351"	"842"	"618"	"855"	"807"
"d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__Thermoanaerobaculales; f__Thermoanaerobaculaceae; g__Subgroup_10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1590"	"999"	"0"	"0"	"0"	"224"	"863"	"0"	"0"	"14"	"258"	"266"	"488"	"390"	"178"	"77"	"117"	"130"	"162"	"140"	"146"
"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Subgroup_17; f__Subgroup_17; g__Subgroup_17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"932"	"0"	"565"	"215"	"0"	"1987"	"0"	"0"	"28"	"298"	"229"	"556"	"689"	"324"	"384"	"221"	"377"	"349"	"408"	"363"
"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__Vicinamibacteraceae; g__Luteitalea"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"303"	"0"	"0"	"0"	"143"	"196"	"220"	"140"	"222"	"91"	"80"	"107"	"59"	"179"	"121"
"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__Vicinamibacteraceae; g__Vicinamibacter"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"71"	"0"	"0"	"0"	"1035"	"10"	"95"	"138"	"198"	"379"	"317"	"197"	"124"	"406"	"126"	"316"	"309"
"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__Vicinamibacteraceae; g__Vicinamibacteraceae"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"977"	"0"	"874"	"885"	"0"	"894"	"534"	"2580"	"817"	"703"	"306"	"1259"	"1765"	"3134"	"2360"	"3327"	"1954"	"1035"	"2902"	"993"	"2467"	"2978"
"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__Vicinamibacteraceae; g__uncultured"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"71"	"192"	"166"	"96"	"87"	"44"	"57"	"21"	"55"	"111"	"33"
"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__uncultured; g__uncultured"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2448"	"1299"	"425"	"335"	"461"	"5030"	"0"	"1170"	"385"	"1770"	"2703"	"4516"	"4481"	"5121"	"2703"	"2091"	"3546"	"2603"	"4603"	"4208"
"d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"713"	"0"	"0"	"41"	"6"	"10"	"0"	"0"	"0"	"8"	"0"	"0"	"13"	"0"	"0"
